site.code,subplot,TreeX,TreeY,PWdistance
02-DCLU,4,91,90,5.780138407
02-DCLU,4,92,90,2.570992026
02-DCLU,4,93,90,5.508175742
02-DCLU,4,94,90,7.858753082
02-DCLU,4,95,90,9.972462083
02-DCLU,4,96,90,5.7218878
02-DCLU,4,97,90,5.371219601
02-DCLU,4,98,90,6.89637586
02-DCLU,4,99,90,8.104936767
02-DCLU,4,100,90,9.504735662
02-DCLU,4,101,90,11.12879149
02-DCLU,4,102,90,14.59109317
02-DCLU,4,103,90,16.27421273
02-DCLU,4,104,90,17.83059169
02-DCLU,4,105,90,10.68877916
02-DCLU,4,106,90,10.88117641
02-DCLU,4,107,90,12.64357544
02-DCLU,4,108,90,14.11736519
02-DCLU,4,109,90,16.01124605
02-DCLU,4,110,90,17.68191166
02-DCLU,4,111,90,11.42015762
02-DCLU,4,112,90,14.56708619
02-DCLU,4,113,90,15.93267084
02-DCLU,4,114,90,15.98812059
02-DCLU,4,115,90,14.00892573
02-DCLU,4,116,90,14.73397435
02-DCLU,4,117,90,15.92482339
02-DCLU,4,118,90,17.39252713
02-DCLU,4,119,90,17.26093856
02-DCLU,4,120,90,18.02470527
02-DCLU,4,121,90,22.81775624
02-DCLU,4,92,91,7.211102551
02-DCLU,4,93,91,3.324154028
02-DCLU,4,94,91,3.354101966
02-DCLU,4,95,91,4.701063709
02-DCLU,4,96,91,10.07223908
02-DCLU,4,97,91,8.736131867
02-DCLU,4,98,91,5.852349955
02-DCLU,4,99,91,5.882176468
02-DCLU,4,100,91,6.200806399
02-DCLU,4,101,91,7.038465742
02-DCLU,4,102,91,9.718538985
02-DCLU,4,103,91,11.20714058
02-DCLU,4,104,91,12.65701387
02-DCLU,4,105,91,15.47772593
02-DCLU,4,106,91,8.86171541
02-DCLU,4,107,91,9.569221494
02-DCLU,4,108,91,10.38701112
02-DCLU,4,109,91,11.76307783
02-DCLU,4,110,91,13.12402377
02-DCLU,4,111,91,11.33181362
02-DCLU,4,112,91,18.06017719
02-DCLU,4,113,91,18.34611676
02-DCLU,4,114,91,17.71016657
02-DCLU,4,115,91,13.81955137
02-DCLU,4,116,91,13.78767566
02-DCLU,4,117,91,14.21724305
02-DCLU,4,118,91,14.92012064
02-DCLU,4,119,91,16.69760462
02-DCLU,4,120,91,16.73618834
02-DCLU,4,121,91,22.18152384
02-DCLU,4,93,92,5.643580424
02-DCLU,4,94,92,8.321658489
02-DCLU,4,95,92,10.62544117
02-DCLU,4,96,92,3.201562119
02-DCLU,4,97,92,2.88444102
02-DCLU,4,98,92,6.020797289
02-DCLU,4,99,92,7.496665926
02-DCLU,4,100,92,9.167878708
02-DCLU,4,101,92,11.0063618
02-DCLU,4,102,92,14.72582765
02-DCLU,4,103,92,16.4924225
02-DCLU,4,104,92,18.09419797
02-DCLU,4,105,92,8.411896338
02-DCLU,4,106,92,9.824968193
02-DCLU,4,107,92,11.91511645
02-DCLU,4,108,92,13.61947136
02-DCLU,4,109,92,15.70891467
02-DCLU,4,110,92,17.51113931
02-DCLU,4,111,92,9.5713113
02-DCLU,4,112,92,12.00708124
02-DCLU,4,113,92,13.3932819
02-DCLU,4,114,92,13.53698637
02-DCLU,4,115,92,12.07393888
02-DCLU,4,116,92,13.02689526
02-DCLU,4,117,92,14.45441109
02-DCLU,4,118,92,16.18054387
02-DCLU,4,119,92,15.34959283
02-DCLU,4,120,92,16.3370744
02-DCLU,4,121,92,20.83314667
02-DCLU,4,94,93,2.701851217
02-DCLU,4,95,93,5.032891813
02-DCLU,4,96,93,7.810249676
02-DCLU,4,97,93,6.158733636
02-DCLU,4,98,93,2.549509757
02-DCLU,4,99,93,2.968164416
02-DCLU,4,100,93,4.044749683
02-DCLU,4,101,93,5.622277119
02-DCLU,4,102,93,9.176055798
02-DCLU,4,103,93,10.91100362
02-DCLU,4,104,93,12.5
02-DCLU,4,105,93,13.1487642
02-DCLU,4,106,93,6.021627687
02-DCLU,4,107,93,7.337574531
02-DCLU,4,108,93,8.657944329
02-DCLU,4,109,93,10.50428484
02-DCLU,4,110,93,12.18072247
02-DCLU,4,111,93,8.049844719
02-DCLU,4,112,93,15.06585544
02-DCLU,4,113,93,15.10529708
02-DCLU,4,114,93,14.40138882
02-DCLU,4,115,93,10.58158778
02-DCLU,4,116,93,10.70560601
02-DCLU,4,117,93,11.38507795
02-DCLU,4,118,93,12.43543325
02-DCLU,4,119,93,13.56023599
02-DCLU,4,120,93,13.79311422
02-DCLU,4,121,93,19.1031411
02-DCLU,4,95,94,2.334523506
02-DCLU,4,96,94,10.47377678
02-DCLU,4,97,94,8.76184912
02-DCLU,4,98,94,4.123105626
02-DCLU,4,99,94,3.324154028
02-DCLU,4,100,94,2.983286778
02-DCLU,4,101,94,3.7
02-DCLU,4,102,94,6.760177512
02-DCLU,4,103,94,8.417244205
02-DCLU,4,104,94,9.972462083
02-DCLU,4,105,94,15.76102789
02-DCLU,4,106,94,5.905929224
02-DCLU,4,107,94,6.262587325
02-DCLU,4,108,94,7.038465742
02-DCLU,4,109,94,8.515867542
02-DCLU,4,110,94,10.00449899
02-DCLU,4,111,94,9.025519376
02-DCLU,4,112,94,17.26615186
02-DCLU,4,113,94,16.88579284
02-DCLU,4,114,94,15.90282994
02-DCLU,4,115,94,11.29291813
02-DCLU,4,116,94,10.95673309
02-DCLU,4,117,94,11.12115102
02-DCLU,4,118,94,11.63872845
02-DCLU,4,119,94,13.9089899
02-DCLU,4,120,94,13.70583817
02-DCLU,4,121,94,19.26058151
02-DCLU,4,96,95,12.80351514
02-DCLU,4,97,95,11.07519752
02-DCLU,4,98,95,6.216912417
02-DCLU,4,99,95,5.069516742
02-DCLU,4,100,95,3.905124838
02-DCLU,4,101,95,3.328663395
02-DCLU,4,102,95,5.048762225
02-DCLU,4,103,95,6.506919394
02-DCLU,4,104,95,7.976214641
02-DCLU,4,105,95,18.069311
02-DCLU,4,106,95,6.88839604
02-DCLU,4,107,95,6.363175308
02-DCLU,4,108,95,6.444377394
02-DCLU,4,109,95,7.340980861
02-DCLU,4,110,95,8.514693183
02-DCLU,4,111,95,10.50190459
02-DCLU,4,112,95,19.349677
02-DCLU,4,113,95,18.71149379
02-DCLU,4,114,95,17.55591069
02-DCLU,4,115,95,12.50279969
02-DCLU,4,116,95,11.84060809
02-DCLU,4,117,95,11.58317746
02-DCLU,4,118,95,11.60387866
02-DCLU,4,119,95,14.77057886
02-DCLU,4,120,95,14.22251736
02-DCLU,4,121,95,19.86353443
02-DCLU,4,97,96,1.878829423
02-DCLU,4,98,96,7.134423593
02-DCLU,4,99,96,8.695401083
02-DCLU,4,100,96,10.49571341
02-DCLU,4,101,96,12.43422696
02-DCLU,4,102,96,16.2603813
02-DCLU,4,103,96,18.06239187
02-DCLU,4,104,96,19.67358635
02-DCLU,4,105,96,5.412023651
02-DCLU,4,106,96,10.21077862
02-DCLU,4,107,96,12.58729518
02-DCLU,4,108,96,14.48999655
02-DCLU,4,109,96,16.73140759
02-DCLU,4,110,96,18.63249849
02-DCLU,4,111,96,8.683317338
02-DCLU,4,112,96,8.864536085
02-DCLU,4,113,96,10.58158778
02-DCLU,4,114,96,11.04536102
02-DCLU,4,115,96,10.85218872
02-DCLU,4,116,96,12.1823643
02-DCLU,4,117,96,13.94345725
02-DCLU,4,118,96,16.00124995
02-DCLU,4,119,96,14.04563989
02-DCLU,4,120,96,15.4029218
02-DCLU,4,121,96,19.27511349
02-DCLU,4,98,97,5.269724851
02-DCLU,4,99,97,6.826419266
02-DCLU,4,100,97,8.628441342
02-DCLU,4,101,97,10.56882207
02-DCLU,4,102,97,14.39618005
02-DCLU,4,103,97,16.19876539
02-DCLU,4,104,97,17.8089865
02-DCLU,4,105,97,7
02-DCLU,4,106,97,8.374365648
02-DCLU,4,107,97,10.72800075
02-DCLU,4,108,97,12.61942946
02-DCLU,4,109,97,14.85563866
02-DCLU,4,110,97,16.75470083
02-DCLU,4,111,97,7.184010022
02-DCLU,4,112,97,9.5
02-DCLU,4,113,97,10.56882207
02-DCLU,4,114,97,10.65316854
02-DCLU,4,115,97,9.534149149
02-DCLU,4,116,97,10.70046728
02-DCLU,4,117,97,12.34706443
02-DCLU,4,118,97,14.31258188
02-DCLU,4,119,97,12.79101247
02-DCLU,4,120,97,13.9778396
02-DCLU,4,121,97,18.17965896
02-DCLU,4,99,98,1.565247584
02-DCLU,4,100,98,3.361547263
02-DCLU,4,101,98,5.3
02-DCLU,4,102,98,9.126883367
02-DCLU,4,103,98,10.92931837
02-DCLU,4,104,98,12.5399362
02-DCLU,4,105,98,12.09173271
02-DCLU,4,106,98,3.984971769
02-DCLU,4,107,98,5.900847397
02-DCLU,4,108,98,7.611832894
02-DCLU,4,109,98,9.752948272
02-DCLU,4,110,98,11.6056021
02-DCLU,4,111,98,5.500909016
02-DCLU,4,112,98,13.15750736
02-DCLU,4,113,98,12.81912634
02-DCLU,4,114,98,11.9707978
02-DCLU,4,115,98,8.045495634
02-DCLU,4,116,98,8.273451517
02-DCLU,4,117,98,9.158602513
02-DCLU,4,118,98,10.50047618
02-DCLU,4,119,98,11.07519752
02-DCLU,4,120,98,11.44770719
02-DCLU,4,121,98,16.64241569
02-DCLU,4,100,99,1.802775638
02-DCLU,4,101,99,3.744329045
02-DCLU,4,102,99,7.571657678
02-DCLU,4,103,99,9.374433316
02-DCLU,4,104,99,10.98362417
02-DCLU,4,105,99,13.5882302
02-DCLU,4,106,99,3.061045573
02-DCLU,4,107,99,4.539823785
02-DCLU,4,108,99,6.129437168
02-DCLU,4,109,99,8.222530024
02-DCLU,4,110,99,10.05783277
02-DCLU,4,111,99,5.707013229
02-DCLU,4,112,99,14.32654878
02-DCLU,4,113,99,13.66235704
02-DCLU,4,114,99,12.60039682
02-DCLU,4,115,99,8.041144197
02-DCLU,4,116,99,7.90569415
02-DCLU,4,117,99,8.43860178
02-DCLU,4,118,99,9.481033699
02-DCLU,4,119,99,10.82266141
02-DCLU,4,120,99,10.89311709
02-DCLU,4,121,99,16.30030675
02-DCLU,4,101,100,1.941648784
02-DCLU,4,102,100,5.768882041
02-DCLU,4,103,100,7.571657678
02-DCLU,4,104,100,9.180958556
02-DCLU,4,105,100,15.37172729
02-DCLU,4,106,100,3.03644529
02-DCLU,4,107,100,3.4
02-DCLU,4,108,100,4.617358552
02-DCLU,4,109,100,6.562011887
02-DCLU,4,110,100,8.343260753
02-DCLU,4,111,100,6.612110102
02-DCLU,4,112,100,15.87765726
02-DCLU,4,113,100,14.94021419
02-DCLU,4,114,100,13.69379421
02-DCLU,4,115,100,8.614522622
02-DCLU,4,116,100,8.077747211
02-DCLU,4,117,100,8.14002457
02-DCLU,4,118,100,8.720091743
02-DCLU,4,119,100,11.03086579
02-DCLU,4,120,100,10.73359213
02-DCLU,4,121,100,16.31103921
02-DCLU,4,102,101,3.827531842
02-DCLU,4,103,101,5.630275304
02-DCLU,4,104,101,7.240165744
02-DCLU,4,105,101,17.30028901
02-DCLU,4,106,101,4.060788101
02-DCLU,4,107,101,3.041381265
02-DCLU,4,108,101,3.354101966
02-DCLU,4,109,101,4.904079934
02-DCLU,4,110,101,6.562011887
02-DCLU,4,111,101,7.955501241
02-DCLU,4,112,101,17.61391495
02-DCLU,4,113,101,16.44384383
02-DCLU,4,114,101,15.04426801
02-DCLU,4,115,101,9.602083107
02-DCLU,4,116,101,8.713208364
02-DCLU,4,117,101,8.285529555
02-DCLU,4,118,101,8.297590012
02-DCLU,4,119,101,11.59525765
02-DCLU,4,120,101,10.92520023
02-DCLU,4,121,101,16.57105911
02-DCLU,4,103,102,1.802775638
02-DCLU,4,104,102,3.413209633
02-DCLU,4,105,102,21.10094785
02-DCLU,4,106,102,7.240165744
02-DCLU,4,107,102,5.126402247
02-DCLU,4,108,102,3.605551275
02-DCLU,4,109,102,2.860069929
02-DCLU,4,110,102,3.511409973
02-DCLU,4,111,102,11.0941426
02-DCLU,4,112,102,21.11160818
02-DCLU,4,113,102,19.59209024
02-DCLU,4,114,102,17.97776404
02-DCLU,4,115,102,12.18400591
02-DCLU,4,116,102,10.85034562
02-DCLU,4,117,102,9.70051545
02-DCLU,4,118,102,8.683317338
02-DCLU,4,119,102,13.41342611
02-DCLU,4,120,102,12.15935854
02-DCLU,4,121,102,17.63093872
02-DCLU,4,104,103,1.61245155
02-DCLU,4,105,103,22.89541439
02-DCLU,4,106,103,8.920201791
02-DCLU,4,107,103,6.673080248
02-DCLU,4,108,103,4.904079934
02-DCLU,4,109,103,3.306055051
02-DCLU,4,110,103,2.842534081
02-DCLU,4,111,103,12.70944531
02-DCLU,4,112,103,22.8002193
02-DCLU,4,113,103,21.15892247
02-DCLU,4,114,103,19.47434209
02-DCLU,4,115,103,13.61249426
02-DCLU,4,116,103,12.15647975
02-DCLU,4,117,103,10.79120012
02-DCLU,4,118,103,9.426027795
02-DCLU,4,119,103,14.5523194
02-DCLU,4,120,103,13.10343466
02-DCLU,4,121,103,18.39836949
02-DCLU,4,105,104,24.48836458
02-DCLU,4,106,104,10.42353107
02-DCLU,4,107,104,8.10246876
02-DCLU,4,108,104,6.22655603
02-DCLU,4,109,104,4.272001873
02-DCLU,4,110,104,3.02654919
02-DCLU,4,111,104,14.14814475
02-DCLU,4,112,104,24.2860042
02-DCLU,4,113,104,22.53752427
02-DCLU,4,114,104,20.79543219
02-DCLU,4,115,104,14.89765082
02-DCLU,4,116,104,13.35440002
02-DCLU,4,117,104,11.83596215
02-DCLU,4,118,104,10.22399139
02-DCLU,4,119,104,15.59775625
02-DCLU,4,120,104,14.00357097
02-DCLU,4,121,104,19.10654338
02-DCLU,4,106,105,14.38923209
02-DCLU,4,107,105,16.858529
02-DCLU,4,108,105,18.84807682
02-DCLU,4,109,105,21.14734026
02-DCLU,4,110,105,23.08679276
02-DCLU,4,111,105,11.6691902
02-DCLU,4,112,105,5.731491952
02-DCLU,4,113,105,8.994442729
02-DCLU,4,114,105,10.46756896
02-DCLU,4,115,105,13.01153335
02-DCLU,4,116,105,14.74923727
02-DCLU,4,117,105,16.81219795
02-DCLU,4,118,105,19.1637679
02-DCLU,4,119,105,15.7
02-DCLU,4,120,105,17.54821928
02-DCLU,4,121,105,20.08233054
02-DCLU,4,107,106,2.469817807
02-DCLU,4,108,106,4.465422712
02-DCLU,4,109,106,6.767569726
02-DCLU,4,110,106,8.709190548
02-DCLU,4,111,106,3.92173431
02-DCLU,4,112,106,13.88092216
02-DCLU,4,113,106,12.44226667
02-DCLU,4,114,106,10.98817546
02-DCLU,4,115,106,5.622277119
02-DCLU,4,116,106,5.056678752
02-DCLU,4,117,106,5.381449619
02-DCLU,4,118,106,6.519202405
02-DCLU,4,119,106,8.011242101
02-DCLU,4,120,106,7.874642849
02-DCLU,4,121,106,13.36899398
02-DCLU,4,108,107,2
02-DCLU,4,109,107,4.301162634
02-DCLU,4,110,107,6.242595614
02-DCLU,4,111,107,6.046486583
02-DCLU,4,112,107,16.19691329
02-DCLU,4,113,107,14.49034161
02-DCLU,4,114,107,12.85145906
02-DCLU,4,115,107,7.083078427
02-DCLU,4,116,107,5.9
02-DCLU,4,117,107,5.255473337
02-DCLU,4,118,107,5.381449619
02-DCLU,4,119,107,8.683317338
02-DCLU,4,120,107,7.892401409
02-DCLU,4,121,107,13.53846372
02-DCLU,4,109,108,2.302172887
02-DCLU,4,110,108,4.243819035
02-DCLU,4,111,108,7.964923101
02-DCLU,4,112,108,18.14662503
02-DCLU,4,113,108,16.31103921
02-DCLU,4,114,108,14.58355238
02-DCLU,4,115,108,8.709190548
02-DCLU,4,116,108,7.278049189
02-DCLU,4,117,108,6.107372594
02-DCLU,4,118,108,5.366563146
02-DCLU,4,119,108,9.808159868
02-DCLU,4,120,108,8.614522622
02-DCLU,4,121,108,14.16509795
02-DCLU,4,110,109,1.941648784
02-DCLU,4,111,109,10.19117265
02-DCLU,4,112,109,20.3823453
02-DCLU,4,113,109,18.41656863
02-DCLU,4,114,109,16.60903369
02-DCLU,4,115,109,10.69439105
02-DCLU,4,116,109,9.1
02-DCLU,4,117,109,7.570997292
02-DCLU,4,118,109,6.120457499
02-DCLU,4,119,109,11.33578405
02-DCLU,4,120,109,9.812746812
02-DCLU,4,121,109,15.09602597
02-DCLU,4,111,110,12.09173271
02-DCLU,4,112,110,22.27936265
02-DCLU,4,113,110,20.2272094
02-DCLU,4,114,110,18.36981219
02-DCLU,4,115,110,12.45552086
02-DCLU,4,116,110,10.78239306
02-DCLU,4,117,110,9.082400564
02-DCLU,4,118,110,7.283543094
02-DCLU,4,119,110,12.8082005
02-DCLU,4,120,110,11.10045044
02-DCLU,4,121,110,16.10031056
02-DCLU,4,112,111,10.19117265
02-DCLU,4,113,111,8.523496935
02-DCLU,4,114,111,7.102112362
02-DCLU,4,115,111,2.617250466
02-DCLU,4,116,111,3.517101079
02-DCLU,4,117,111,5.300943312
02-DCLU,4,118,111,7.531268154
02-DCLU,4,119,111,5.841232747
02-DCLU,4,120,111,6.800735254
02-DCLU,4,121,111,11.41095964
02-DCLU,4,113,112,3.721558813
02-DCLU,4,114,112,5.7218878
02-DCLU,4,115,112,10.34649699
02-DCLU,4,116,112,12.23315168
02-DCLU,4,117,112,14.37358689
02-DCLU,4,118,112,16.84339633
02-DCLU,4,119,112,12.14331092
02-DCLU,4,120,112,14.28040616
02-DCLU,4,121,112,15.5
02-DCLU,4,114,113,2.19317122
02-DCLU,4,115,113,7.810249676
02-DCLU,4,116,113,9.620810777
02-DCLU,4,117,113,11.67261753
02-DCLU,4,118,113,14.10141837
02-DCLU,4,119,113,8.906739022
02-DCLU,4,120,113,11.11395519
02-DCLU,4,121,113,11.80677771
02-DCLU,4,115,114,5.916924877
02-DCLU,4,116,114,7.640026178
02-DCLU,4,117,114,9.626006441
02-DCLU,4,118,114,12.02164714
