"","modstr","Group","plotid","theta","Ntot","LIQR","UIQR","LIQR.time","UIQR.time","duration"
"1","SEIR","dense","DLIS002",0.1,2880,0.0003472222,0.0013888889,28.5,95,66.5
"2","SEIR","dense","DLIS002",0.1,4320,0.0002314815,0.0037037037,32.5,201.5,169
"3","SEIR","dense","DLIS002",0.5,2880,0.0006944444,0.0020833333,63,223,160
"4","SEIR","dense","DLIS002",0.5,4320,0.0009259259,0.0145833333,68,205,137
"5","SEIR","dense","DLIS002",1,2880,0.0010416667,0.0128472222,71,214,143
"6","SEIR","dense","DLIS002",1,4320,0.0006944444,0.025462963,50,152,102
"7","SEIR","dense","DLIS002",2,2880,0.0010416667,0.0260416667,48,148,100
"8","SEIR","dense","DLIS002",2,4320,0.0006944444,0.0375,37,112,75
"9","SEIR","dense","DLIS002",10,288,0.0034722222,0.0069444444,19,58,39
"10","SEIR","dense","DLIS002",10,2880,0.0010416667,0.0541666667,27,82,55
"11","SEIR","dense","DLIS002",10,4320,0.0009259259,0.0564814815,24,74,50
"12","SEIR","intermediate","DCLU004",0.1,2880,0.0003472222,0.0020833333,44,169,125
"13","SEIR","intermediate","DCLU004",0.1,4320,0.0011574074,0.0099537037,74,233,159
"14","SEIR","intermediate","DCLU004",0.5,2880,0.0010416667,0.009375,65,205,140
"15","SEIR","intermediate","DCLU004",0.5,4320,0.0006944444,0.0206018519,56,171,115
"16","SEIR","intermediate","DCLU004",1,2880,0.0010416667,0.0170138889,61,186,125
"17","SEIR","intermediate","DCLU004",1,4320,0.0006944444,0.0291666667,45,137,92
"18","SEIR","intermediate","DCLU004",2,2880,0.0010416667,0.0297743056,45,136,91
"19","SEIR","intermediate","DCLU004",2,4320,0.0006944444,0.0402777778,35,105,70
"20","SEIR","intermediate","DCLU004",10,288,0.0034722222,0.0104166667,23,79,56
"21","SEIR","intermediate","DCLU004",10,2880,0.0010416667,0.0545138889,27,81,54
"22","SEIR","intermediate","DCLU004",10,4320,0.0009259259,0.0564814815,24,74,50
"23","SEIR","sparse","DTOW005",0.1,2880,0.0013888889,0.0260416667,52,156,104
"24","SEIR","sparse","DTOW005",0.1,4320,0.0011574074,0.0405092593,38,114,76
"25","SEIR","sparse","DTOW005",0.5,2880,0.0010416667,0.034375,42,126,84
"26","SEIR","sparse","DTOW005",0.5,4320,0.0009259259,0.0449074074,32,98,66
"27","SEIR","sparse","DTOW005",1,2880,0.0010416667,0.0385416667,37,111,74
"28","SEIR","sparse","DTOW005",1,4320,0.0009259259,0.0469907407,30,91,61
"29","SEIR","sparse","DTOW005",2,2880,0.0010416667,0.04375,33,100,67
"30","SEIR","sparse","DTOW005",2,4320,0.0009259259,0.0509259259,28,84,56
"31","SEIR","sparse","DTOW005",10,288,0.0034722222,0.0104166667,20,65,45
"32","SEIR","sparse","DTOW005",10,2880,0.0010416667,0.0569444444,25,77,52
"33","SEIR","sparse","DTOW005",10,4320,0.0009259259,0.0590277778,23,71,48
"34","SEIRns","x homogenous","DCLU004",0.1,288,0.0034722222,0.0104166667,24,80,56
"35","SEIRns","x homogenous","DCLU004",0.1,2880,0.0010416667,0.0628472222,22,68,46
"36","SEIRns","x homogenous","DCLU004",0.1,4320,0.0009259259,0.0638888889,21,65,44
"37","SEIRns","x homogenous","DCLU004",0.5,288,0.0034722222,0.0104166667,25,86,61
"38","SEIRns","x homogenous","DCLU004",0.5,2880,0.0013888889,0.0642361111,22,67,45
"39","SEIRns","x homogenous","DCLU004",0.5,4320,0.0009259259,0.0627314815,22,66,44
"40","SEIRns","x homogenous","DCLU004",1,288,0.0034722222,0.0104166667,28,88,60
"41","SEIRns","x homogenous","DCLU004",1,2880,0.0013888889,0.0638888889,22,67,45
"42","SEIRns","x homogenous","DCLU004",1,4320,0.0009259259,0.0636574074,21,65,44
"43","SEIRns","x homogenous","DCLU004",2,288,0.0034722222,0.0104166667,22,72,50
"44","SEIRns","x homogenous","DCLU004",2,2880,0.0013888889,0.0638888889,22,67,45
"45","SEIRns","x homogenous","DCLU004",2,4320,0.0009259259,0.062962963,21,65,44
"46","SEIRns","x homogenous","DCLU004",10,288,0.0034722222,0.0104166667,26,83,57
"47","SEIRns","x homogenous","DCLU004",10,2880,0.0013888889,0.0645833333,22,66,44
"48","SEIRns","x homogenous","DCLU004",10,4320,0.0009259259,0.0627314815,22,66,44
"49","SEIRns","x homogenous","DLIS002",0.1,288,0.0034722222,0.0104166667,26,89,63
"50","SEIRns","x homogenous","DLIS002",0.1,2880,0.0013888889,0.0638888889,22,67,45
"51","SEIRns","x homogenous","DLIS002",0.1,4320,0.0009259259,0.0618055556,22,66,44
"52","SEIRns","x homogenous","DLIS002",0.5,288,0.0034722222,0.0104166667,25,86,61
"53","SEIRns","x homogenous","DLIS002",0.5,2880,0.0013888889,0.0645833333,22,66,44
