"","N","Data","radius","theta","R0roost","gamma","delta","nsims","threshold","modstr","site","subplot","n","Ntot","id","plotid","Beta"
"1",5,1,3,0.1,0.104732919635526,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,160,1,"DCLU004",0.000992063492063492
"2",5,2,3,0.1,0.182715262050371,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,360,2,"DLIS002",0.000992063492063492
"3",5,3,3,0.1,0.0357871706648163,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,20,3,"DTOW005",0.000992063492063492
"4",5,1,3,0.5,0.147321205022114,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,160,4,"DCLU004",0.000992063492063492
"5",5,2,3,0.5,0.278075243968115,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,360,5,"DLIS002",0.000992063492063492
"6",5,3,3,0.5,0.0398070361061397,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,20,6,"DTOW005",0.000992063492063492
"7",5,1,3,1,0.194677657347269,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,160,7,"DCLU004",0.000992063492063492
"8",5,2,3,1,0.384510954591844,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,360,8,"DLIS002",0.000992063492063492
"9",5,3,3,1,0.0443572099214274,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,20,9,"DTOW005",0.000992063492063492
"10",5,1,3,2,0.274497722119261,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,160,10,"DCLU004",0.000992063492063492
"11",5,2,3,2,0.564746719102988,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,360,11,"DLIS002",0.000992063492063492
"12",5,3,3,2,0.0521915716892579,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,20,12,"DTOW005",0.000992063492063492
"13",5,1,3,10,0.602779417764328,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,160,13,"DCLU004",0.000992063492063492
"14",5,2,3,10,1.31491260787067,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,360,14,"DLIS002",0.000992063492063492
"15",5,3,3,10,0.0858706631256662,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,20,15,"DTOW005",0.000992063492063492
"16",5,1,3,0.1,1.11111111111111,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,160,16,"DCLU004",0.000992063492063492
"17",5,2,3,0.1,2.5,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,360,17,"DLIS002",0.000992063492063492
"18",5,3,3,0.1,0.138888888888889,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,20,18,"DTOW005",0.000992063492063492
"19",5,1,3,0.5,1.11111111111111,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,160,19,"DCLU004",0.000992063492063492
"20",5,2,3,0.5,2.5,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,360,20,"DLIS002",0.000992063492063492
"21",5,3,3,0.5,0.138888888888889,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,20,21,"DTOW005",0.000992063492063492
"22",5,1,3,1,1.11111111111111,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,160,22,"DCLU004",0.000992063492063492
"23",5,2,3,1,2.5,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,360,23,"DLIS002",0.000992063492063492
"24",5,3,3,1,0.138888888888889,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,20,24,"DTOW005",0.000992063492063492
"25",5,1,3,2,1.11111111111111,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,160,25,"DCLU004",0.000992063492063492
"26",5,2,3,2,2.5,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,360,26,"DLIS002",0.000992063492063492
"27",5,3,3,2,0.138888888888889,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,20,27,"DTOW005",0.000992063492063492
"28",5,1,3,10,1.11111111111111,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,160,28,"DCLU004",0.000992063492063492
"29",5,2,3,10,2.5,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,360,29,"DLIS002",0.000992063492063492
"30",5,3,3,10,0.138888888888889,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,20,30,"DTOW005",0.000992063492063492
"31",9,1,3,0.1,0.188519255343948,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,288,31,"DCLU004",0.000992063492063492
"32",90,1,3,0.1,1.88519255343948,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,2880,32,"DCLU004",0.000992063492063492
"33",135,1,3,0.1,2.82778883015921,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,4320,33,"DCLU004",0.000992063492063492
"34",4,2,3,0.1,0.146172209640297,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,288,34,"DLIS002",0.000992063492063492
"35",40,2,3,0.1,1.46172209640297,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,2880,35,"DLIS002",0.000992063492063492
"36",60,2,3,0.1,2.19258314460446,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,4320,36,"DLIS002",0.000992063492063492
"37",72,3,3,0.1,0.515335257573355,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,288,37,"DTOW005",0.000992063492063492
"38",720,3,3,0.1,5.15335257573355,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,2880,38,"DTOW005",0.000992063492063492
"39",1080,3,3,0.1,7.73002886360032,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,4320,39,"DTOW005",0.000992063492063492
"40",9,1,3,0.5,0.265178169039804,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,288,40,"DCLU004",0.000992063492063492
"41",90,1,3,0.5,2.65178169039804,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,2880,41,"DCLU004",0.000992063492063492
"42",135,1,3,0.5,3.97767253559707,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,4320,42,"DCLU004",0.000992063492063492
"43",4,2,3,0.5,0.222460195174492,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,288,43,"DLIS002",0.000992063492063492
"44",40,2,3,0.5,2.22460195174492,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,2880,44,"DLIS002",0.000992063492063492
"45",60,2,3,0.5,3.33690292761738,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,4320,45,"DLIS002",0.000992063492063492
"46",72,3,3,0.5,0.573221319928412,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,288,46,"DTOW005",0.000992063492063492
"47",720,3,3,0.5,5.73221319928412,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,2880,47,"DTOW005",0.000992063492063492
"48",1080,3,3,0.5,8.59831979892618,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,4320,48,"DTOW005",0.000992063492063492
"49",9,1,3,1,0.350419783225085,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,288,49,"DCLU004",0.000992063492063492
"50",90,1,3,1,3.50419783225085,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,2880,50,"DCLU004",0.000992063492063492
"51",135,1,3,1,5.25629674837628,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,4320,51,"DCLU004",0.000992063492063492
"52",4,2,3,1,0.307608763673475,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,288,52,"DLIS002",0.000992063492063492
"53",40,2,3,1,3.07608763673475,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,2880,53,"DLIS002",0.000992063492063492
"54",60,2,3,1,4.61413145510212,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,4320,54,"DLIS002",0.000992063492063492
"55",72,3,3,1,0.638743822868554,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,288,55,"DTOW005",0.000992063492063492
"56",720,3,3,1,6.38743822868554,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,2880,56,"DTOW005",0.000992063492063492
"57",1080,3,3,1,9.58115734302832,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,4320,57,"DTOW005",0.000992063492063492
"58",9,1,3,2,0.49409589981467,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,288,58,"DCLU004",0.000992063492063492
"59",90,1,3,2,4.9409589981467,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,2880,59,"DCLU004",0.000992063492063492
"60",135,1,3,2,7.41143849722005,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,4320,60,"DCLU004",0.000992063492063492
"61",4,2,3,2,0.451797375282391,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,288,61,"DLIS002",0.000992063492063492
"62",40,2,3,2,4.51797375282391,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,2880,62,"DLIS002",0.000992063492063492
"63",60,2,3,2,6.77696062923586,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,4320,63,"DLIS002",0.000992063492063492
"64",72,3,3,2,0.751558632325314,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,288,64,"DTOW005",0.000992063492063492
"65",720,3,3,2,7.51558632325314,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,2880,65,"DTOW005",0.000992063492063492
"66",1080,3,3,2,11.2733794848797,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,4320,66,"DTOW005",0.000992063492063492
"67",9,1,3,10,1.08500295197579,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,288,67,"DCLU004",0.000992063492063492
"68",90,1,3,10,10.8500295197579,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,2880,68,"DCLU004",0.000992063492063492
"69",135,1,3,10,16.2750442796369,0.142857142857143,0.166666666666667,500,10,"SEIR","DCLU","004",32,4320,69,"DCLU004",0.000992063492063492
"70",4,2,3,10,1.05193008629654,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,288,70,"DLIS002",0.000992063492063492
"71",40,2,3,10,10.5193008629654,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,2880,71,"DLIS002",0.000992063492063492
"72",60,2,3,10,15.7789512944481,0.142857142857143,0.166666666666667,500,10,"SEIR","DLIS","002",72,4320,72,"DLIS002",0.000992063492063492
"73",72,3,3,10,1.23653754900959,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,288,73,"DTOW005",0.000992063492063492
"74",720,3,3,10,12.3653754900959,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,2880,74,"DTOW005",0.000992063492063492
"75",1080,3,3,10,18.5480632351439,0.142857142857143,0.166666666666667,500,10,"SEIR","DTOW","005",4,4320,75,"DTOW005",0.000992063492063492
"76",9,1,3,0.1,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,288,76,"DCLU004",0.000992063492063492
"77",90,1,3,0.1,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,2880,77,"DCLU004",0.000992063492063492
"78",135,1,3,0.1,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,4320,78,"DCLU004",0.000992063492063492
"79",4,2,3,0.1,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,288,79,"DLIS002",0.000992063492063492
"80",40,2,3,0.1,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,2880,80,"DLIS002",0.000992063492063492
"81",60,2,3,0.1,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,4320,81,"DLIS002",0.000992063492063492
"82",72,3,3,0.1,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,288,82,"DTOW005",0.000992063492063492
"83",720,3,3,0.1,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,2880,83,"DTOW005",0.000992063492063492
"84",1080,3,3,0.1,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,4320,84,"DTOW005",0.000992063492063492
"85",9,1,3,0.5,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,288,85,"DCLU004",0.000992063492063492
"86",90,1,3,0.5,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,2880,86,"DCLU004",0.000992063492063492
"87",135,1,3,0.5,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,4320,87,"DCLU004",0.000992063492063492
"88",4,2,3,0.5,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,288,88,"DLIS002",0.000992063492063492
"89",40,2,3,0.5,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,2880,89,"DLIS002",0.000992063492063492
"90",60,2,3,0.5,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,4320,90,"DLIS002",0.000992063492063492
"91",72,3,3,0.5,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,288,91,"DTOW005",0.000992063492063492
"92",720,3,3,0.5,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,2880,92,"DTOW005",0.000992063492063492
"93",1080,3,3,0.5,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,4320,93,"DTOW005",0.000992063492063492
"94",9,1,3,1,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,288,94,"DCLU004",0.000992063492063492
"95",90,1,3,1,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,2880,95,"DCLU004",0.000992063492063492
"96",135,1,3,1,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,4320,96,"DCLU004",0.000992063492063492
"97",4,2,3,1,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,288,97,"DLIS002",0.000992063492063492
"98",40,2,3,1,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,2880,98,"DLIS002",0.000992063492063492
"99",60,2,3,1,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,4320,99,"DLIS002",0.000992063492063492
"100",72,3,3,1,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,288,100,"DTOW005",0.000992063492063492
"101",720,3,3,1,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,2880,101,"DTOW005",0.000992063492063492
"102",1080,3,3,1,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,4320,102,"DTOW005",0.000992063492063492
"103",9,1,3,2,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,288,103,"DCLU004",0.000992063492063492
"104",90,1,3,2,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,2880,104,"DCLU004",0.000992063492063492
"105",135,1,3,2,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,4320,105,"DCLU004",0.000992063492063492
"106",4,2,3,2,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,288,106,"DLIS002",0.000992063492063492
"107",40,2,3,2,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,2880,107,"DLIS002",0.000992063492063492
"108",60,2,3,2,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,4320,108,"DLIS002",0.000992063492063492
"109",72,3,3,2,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,288,109,"DTOW005",0.000992063492063492
"110",720,3,3,2,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,2880,110,"DTOW005",0.000992063492063492
"111",1080,3,3,2,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DTOW","005",4,4320,111,"DTOW005",0.000992063492063492
"112",9,1,3,10,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,288,112,"DCLU004",0.000992063492063492
"113",90,1,3,10,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,2880,113,"DCLU004",0.000992063492063492
"114",135,1,3,10,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DCLU","004",32,4320,114,"DCLU004",0.000992063492063492
"115",4,2,3,10,2,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,288,115,"DLIS002",0.000992063492063492
"116",40,2,3,10,20,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,2880,116,"DLIS002",0.000992063492063492
"117",60,2,3,10,30,0.142857142857143,0.166666666666667,500,10,"SEIRns","DLIS","002",72,4320,117,"DLIS002",0.000992063492063492
