"","modstr","structure","R0roost","Beta","theta","Ntot","nsims","count.n","mininf","average.ext.time","median.ext.time","LIQR.ext.time","UIQR.ext.time","prop.success"
"1","SEIR","dense",1.052,0.000992,10,288,500,8,11,76.375,63.5,60.25,74.75,0.016
"2","SEIR","dense",1.462,0.000992,0.1,2880,500,32,11,114.96875,108.5,79.5,133.5,0.064
"3","SEIR","dense",2.193,0.000992,0.1,4320,50,4,12,130.75,74,59.25,145.5,0.08
"4","SEIR","dense",2.225,0.000992,0.5,2880,50,7,24,253.571428571429,292,173.5,342.5,0.14
"5","SEIR","dense",3.076,0.000992,1,2880,50,15,769,284.133333333333,293,247,319,0.3
"6","SEIR","dense",3.337,0.000992,0.5,4320,50,22,1309,272.954545454545,261.5,244.5,297.5,0.44
"7","SEIR","dense",4.518,0.000992,2,2880,500,267,11,194.464419475655,192,176,212,0.534
"8","SEIR","dense",4.614,0.000992,1,4320,500,282,11,202.177304964539,199,183,219,0.564
"9","SEIR","dense",6.777,0.000992,2,4320,500,369,2025,148.845528455285,145,137,158,0.738
"10","SEIR","dense",10.519,0.000992,10,2880,500,409,1420,108.569682151589,107,101,115,0.818
"11","SEIR","dense",15.779,0.000992,10,4320,500,430,2156,98.9813953488372,97.5,92,105,0.86
"12","SEIR","intermediate",1.085,0.000992,10,288,500,5,11,93.8,93,74,108,0.01
"13","SEIR","intermediate",1.885,0.000992,0.1,2880,150,20,12,177.95,171.5,89.5,239,0.133333333333333
"14","SEIR","intermediate",2.652,0.000992,0.5,2880,50,12,12,260.166666666667,272,244.5,286,0.24
"15","SEIR","intermediate",2.828,0.000992,0.1,4320,25,9,15,282.777777777778,312,277,337,0.36
"16","SEIR","intermediate",3.504,0.000992,1,2880,250,103,16,245.194174757282,250,220.5,269.5,0.412
"17","SEIR","intermediate",3.978,0.000992,0.5,4320,500,230,11,225.3,224.5,204,245,0.46
"18","SEIR","intermediate",4.941,0.000992,2,2880,500,296,12,179.533783783784,178,164,192.25,0.592
"19","SEIR","intermediate",5.256,0.000992,1,4320,500,300,1851,182.03,179,165.75,198,0.6
"20","SEIR","intermediate",7.411,0.000992,2,4320,500,348,2063,140.117816091954,137,129,148.25,0.696
"21","SEIR","intermediate",10.85,0.000992,10,2880,500,421,1421,107.261282660333,105,99,113,0.842
"22","SEIR","intermediate",16.275,0.000992,10,4320,500,440,2172,98.5863636363636,97,91,103,0.88
"23","SEIR","sparse",1.237,0.000992,10,288,500,14,11,82.7857142857143,87.5,71.25,98.75,0.028
"24","SEIR","sparse",5.153,0.000992,0.1,2880,500,310,1224,207.496774193548,204,186.25,226.5,0.62
"25","SEIR","sparse",5.732,0.000992,0.5,2880,500,320,11,167.0375,165,151,179,0.64
"26","SEIR","sparse",6.387,0.000992,1,2880,500,345,1328,148.292753623188,146,136,159,0.69
"27","SEIR","sparse",7.516,0.000992,2,2880,500,367,1371,132.378746594005,129,120.5,143,0.734
"28","SEIR","sparse",7.73,0.000992,0.1,4320,500,378,2081,151.208994708995,149,141,159,0.756
"29","SEIR","sparse",8.598,0.000992,0.5,4320,500,391,2108,130.450127877238,128,121,138,0.782
"30","SEIR","sparse",9.581,0.000992,1,4320,500,400,12,121.38,120,111,129,0.8
"31","SEIR","sparse",11.273,0.000992,2,4320,500,413,2140,111.583535108959,110,103,118,0.826
"32","SEIR","sparse",12.365,0.000992,10,2880,500,415,1429,102.120481927711,100,93.5,109,0.83
"33","SEIR","sparse",18.548,0.000992,10,4320,500,447,2157,94.2214765100671,93,87,101,0.894
"34","SEIRns","dense",2,0.000992,0.1,288,500,74,11,106.797297297297,99,74,127.75,0.148
"35","SEIRns","dense",2,0.000992,0.5,288,500,90,11,100,91.5,63.25,127.25,0.18
"36","SEIRns","dense",2,0.000992,1,288,500,100,11,115.06,109,83.75,145.5,0.2
"37","SEIRns","dense",2,0.000992,2,288,500,75,11,111.68,100,77,139,0.15
"38","SEIRns","dense",2,0.000992,10,288,500,92,11,102.20652173913,93,69,134.5,0.184
"39","SEIRns","dense",20,0.000992,0.1,2880,500,447,1439,88.7315436241611,87,82,94,0.894
"40","SEIRns","dense",20,0.000992,0.5,2880,500,450,1438,87.8466666666667,86,81,94,0.9
"41","SEIRns","dense",20,0.000992,1,2880,500,436,1438,89.0137614678899,88,83,94,0.872
"42","SEIRns","dense",20,0.000992,2,2880,500,446,1438,89.3116591928251,87,82,95,0.892
"43","SEIRns","dense",20,0.000992,10,2880,500,449,1438,89.4610244988864,88,82,95,0.898
"44","SEIRns","dense",30,0.000992,0.1,4320,500,476,2160,87.7142857142857,86,81,93,0.952
"45","SEIRns","dense",30,0.000992,0.5,4320,500,459,2160,86.3267973856209,85,80,91,0.918
"46","SEIRns","dense",30,0.000992,1,4320,500,459,2160,86.4727668845316,85,80,92,0.918
"47","SEIRns","dense",30,0.000992,2,4320,500,467,2159,86.7494646680942,85,80,92,0.934
"48","SEIRns","dense",30,0.000992,10,4320,500,464,2160,86.9698275862069,86,80,92,0.928
"49","SEIRns","intermediate",2,0.000992,0.1,288,500,64,11,96.203125,90.5,65.5,108.75,0.128
"50","SEIRns","intermediate",2,0.000992,0.5,288,500,52,11,102.653846153846,99,68,132.25,0.104
"51","SEIRns","intermediate",2,0.000992,1,288,500,52,11,111.365384615385,104,85,132,0.104
"52","SEIRns","intermediate",2,0.000992,2,288,500,56,11,88.9285714285714,89.5,65.75,99.25,0.112
"53","SEIRns","intermediate",2,0.000992,10,288,500,52,11,103.711538461538,102.5,77.75,124.25,0.104
"54","SEIRns","intermediate",20,0.000992,0.1,2880,500,453,1438,89.728476821192,88,82,95,0.906
"55","SEIRns","intermediate",20,0.000992,0.5,2880,500,453,1438,88.5342163355408,87,82,94,0.906
"56","SEIRns","intermediate",20,0.000992,1,2880,500,450,1438,88.5711111111111,87,82,93,0.9
"57","SEIRns","intermediate",20,0.000992,2,2880,500,455,1439,88.7472527472527,87,82,93,0.91
"58","SEIRns","intermediate",20,0.000992,10,2880,500,451,1438,87.980044345898,87,81,93,0.902
"59","SEIRns","intermediate",30,0.000992,0.1,4320,500,467,2175,86.3490364025696,85,80,91,0.934
"60","SEIRns","intermediate",30,0.000992,0.5,4320,500,476,2176,87.1848739495798,85,80,92,0.952
"61","SEIRns","intermediate",30,0.000992,1,4320,500,467,2176,86.3190578158458,85,80,92,0.934
"62","SEIRns","intermediate",30,0.000992,2,4320,500,463,2175,86.9071274298056,85,80,92.5,0.926
"63","SEIRns","intermediate",30,0.000992,10,4320,500,462,2176,87.4372294372294,86,80,93,0.924
"64","SEIRns","sparse",2,0.000992,0.1,288,500,94,11,108.627659574468,96.5,75.25,136,0.188
"65","SEIRns","sparse",2,0.000992,0.5,288,500,88,11,109.204545454545,105.5,73.75,138.75,0.176
"66","SEIRns","sparse",2,0.000992,1,288,500,96,11,107.989583333333,102.5,74.75,133.25,0.192
"67","SEIRns","sparse",2,0.000992,2,288,500,91,11,108.527472527473,104,70.5,137.5,0.182
"68","SEIRns","sparse",2,0.000992,10,288,500,74,11,98.7837837837838,96,70.5,121.5,0.148
"69","SEIRns","sparse",20,0.000992,0.1,2880,500,457,1439,88.4266958424508,87,82,94,0.914
"70","SEIRns","sparse",20,0.000992,0.5,2880,500,449,1439,89.2204899777283,87,82,94,0.898
"71","SEIRns","sparse",20,0.000992,1,2880,500,449,1439,88.7349665924276,87,82,93,0.898
"72","SEIRns","sparse",20,0.000992,2,2880,500,445,1438,88.4921348314607,87,82,94,0.89
"73","SEIRns","sparse",20,0.000992,10,2880,500,449,1439,89.0489977728285,88,82,95,0.898
"74","SEIRns","sparse",30,0.000992,0.1,4320,500,469,2159,87.2046908315565,85,81,92,0.938
"75","SEIRns","sparse",30,0.000992,0.5,4320,500,465,2160,87.0129032258065,85,80,93,0.93
"76","SEIRns","sparse",30,0.000992,1,4320,500,475,2160,87.0842105263158,85,80,92,0.95
"77","SEIRns","sparse",30,0.000992,2,4320,500,468,2160,86.8269230769231,85,80,92,0.936
"78","SEIRns","sparse",30,0.000992,10,4320,500,467,2160,87.0278372591006,85,81,92,0.934
