"","Variable","Theta","D_NH_288","D_NH_2880","D_NH_4320","D_H_288","D_H_2880","D_H_4320","I_NH_288","I_NH_2880","I_NH_4320","I_H_288","I_H_2880","I_H_4320","S_NH_288","S_NH_2880","S_NH_4320","S_H_288","S_H_2880","S_H_4320"
"1","successful",0.1,NA,0.08,0.25,0.16,0.9,0.94,NA,0.12,0.32,0.14,0.92,0.92,NA,0.68,0.72,0.13,0.88,0.94
"2","successful",0.5,NA,0.23,0.4,0.19,0.92,0.94,NA,0.33,0.48,0.1,0.92,0.95,NA,0.63,0.79,0.13,0.91,0.93
"3","successful",1,NA,0.37,0.56,0.16,0.92,0.93,NA,0.43,0.66,0.13,0.9,0.92,NA,0.69,0.81,0.14,0.9,0.94
"4","successful",2,NA,0.56,0.71,0.17,0.91,0.92,NA,0.61,0.73,0.12,0.89,0.92,NA,0.74,0.8,0.12,0.88,0.94
"5","successful",10,NA,0.86,0.87,0.17,0.88,0.91,NA,0.82,0.87,0.12,0.91,0.92,NA,0.85,0.91,0.13,0.9,0.94
"6","ext.time",0.1,NA,68,126.5,59,60,60,NA,69,174.5,56,60,61,NA,110,85,63,60.5,61
"7","ext.time",0.5,NA,141,153,58,60,61,NA,176,124,54,60,61,NA,93,78,64,60,61
"8","ext.time",1,NA,158,115,63,60,61,NA,132,102,51,61,61,NA,86,75,60,60,60
"9","ext.time",2,NA,110,88,63,60,61,NA,102,83,53,60,60,NA,78,70,55,60,62
"10","ext.time",10,NA,69,65,62,59.5,61,NA,69,66,59,60.5,61.5,NA,65,63,64,60,61
"11","time.peak",0.1,NA,27,47,21,8,5,NA,30.5,72,24,8,5,NA,44,27,24,8,5
"12","time.peak",0.5,NA,50,61,23,8,5,NA,72,45,20,8,5,NA,31,20,24,8,5
"13","time.peak",1,NA,66,40,25.5,8,5,NA,52,33,24.5,8,5,NA,26,17,23,8,5
"14","time.peak",2,NA,39,25,27,8,5,NA,34,22,20,8,5,NA,22,14,22,8,5
"15","time.peak",10,NA,15,10,25,8,5,NA,14,10,26,8,5,NA,12,9,30,8,5
"16","prop.I.peak",0.1,NA,0,0,0,0.3,0.4,NA,0,0,0,0.3,0.4,NA,0.1,0.2,0,0.3,0.4
"17","prop.I.peak",0.5,NA,0,0.1,0,0.3,0.4,NA,0,0.1,0,0.3,0.4,NA,0.1,0.2,0,0.3,0.4
"18","prop.I.peak",1,NA,0,0.1,0,0.3,0.4,NA,0.1,0.1,0,0.3,0.4,NA,0.2,0.2,0,0.3,0.4
"19","prop.I.peak",2,NA,0.1,0.2,0,0.3,0.4,NA,0.1,0.2,0,0.3,0.4,NA,0.2,0.3,0,0.3,0.4
"20","prop.I.peak",10,NA,0.2,0.3,0,0.3,0.4,NA,0.3,0.3,0,0.3,0.4,NA,0.3,0.3,0,0.3,0.4
"21","duration",0.1,NA,40,95,39,31,32,NA,67,95,36,32,32,NA,56,44,35,32,32
"22","duration",0.5,NA,101,79,36,31,32,NA,96,64,35,31.2,32,NA,49,40,43,31,32
"23","duration",1,NA,84,59,43,32,32,NA,70,52,31,32,32,NA,45,39,40,31,31
"24","duration",2,NA,56,44.5,36,31,32,NA,52,42,34,31,32,NA,40,36,33,32,32
"25","duration",10,NA,36,34,38,31,32,NA,35,34,37,32,32,NA,34,33,40,32,32
