"","modstr","Group","plotid","theta","Ntot","LIQR","UIQR","LIQR.time","UIQR.time","duration"
"1","SIR","dense","DLIS002",0.1,2880,0.0003472222,0.0017361111,17,57,40
"2","SIR","dense","DLIS002",0.1,4320,0.0006944444,0.0050925926,33,128,95
"3","SIR","dense","DLIS002",0.5,2880,0.0010416667,0.0059027778,35,136,101
"4","SIR","dense","DLIS002",0.5,4320,0.0013888889,0.025462963,39,118,79
"5","SIR","dense","DLIS002",1,2880,0.0017361111,0.0208333333,40,124,84
"6","SIR","dense","DLIS002",1,4320,0.0011574074,0.0416666667,29,88,59
"7","SIR","dense","DLIS002",2,2880,0.0017361111,0.0454861111,27,83,56
"8","SIR","dense","DLIS002",2,4320,0.0011574074,0.05625,22,66.5,44.5
"9","SIR","dense","DLIS002",10,288,0.0034722222,0.0104166667,13,44,31
"10","SIR","dense","DLIS002",10,2880,0.0013888889,0.0677083333,17,53,36
"11","SIR","dense","DLIS002",10,4320,0.0009259259,0.061400463,16,50,34
"12","SIR","intermediate","DCLU004",0.1,2880,0.0006944444,0.0034722222,22,89,67
"13","SIR","intermediate","DCLU004",0.1,4320,0.0013888889,0.0155092593,44,139,95
"14","SIR","intermediate","DCLU004",0.5,2880,0.0013888889,0.0131944444,41,137,96
"15","SIR","intermediate","DCLU004",0.5,4320,0.0011574074,0.0356481481,32,96,64
"16","SIR","intermediate","DCLU004",1,2880,0.0017361111,0.0302083333,33,103,70
"17","SIR","intermediate","DCLU004",1,4320,0.0011574074,0.0474537037,26,78,52
"18","SIR","intermediate","DCLU004",2,2880,0.0017361111,0.0493055556,26,78,52
"19","SIR","intermediate","DCLU004",2,4320,0.0011574074,0.0592592593,21,63,42
"20","SIR","intermediate","DCLU004",10,288,0.0034722222,0.0104166667,13,41,28
"21","SIR","intermediate","DCLU004",10,2880,0.0013888889,0.0677083333,17,52,35
"22","SIR","intermediate","DCLU004",10,4320,0.0009259259,0.0608796296,17,51,34
"23","SIR","sparse","DTOW005",0.1,2880,0.0017361111,0.0493055556,28,84,56
"24","SIR","sparse","DTOW005",0.1,4320,0.0011574074,0.0636574074,21,65,44
"25","SIR","sparse","DTOW005",0.5,2880,0.0013888889,0.05625,23,72,49
"26","SIR","sparse","DTOW005",0.5,4320,0.0011574074,0.0618055556,20,60,40
"27","SIR","sparse","DTOW005",1,2880,0.0013888889,0.0590277778,22,67,45
"28","SIR","sparse","DTOW005",1,4320,0.0009259259,0.0615740741,19,58,39
"29","SIR","sparse","DTOW005",2,288,0.0069444444,0.0104166667,17.25,51.75,34.5
"30","SIR","sparse","DTOW005",2,2880,0.0013888889,0.0642361111,20,60,40
"31","SIR","sparse","DTOW005",2,4320,0.0009259259,0.062962963,18,54,36
"32","SIR","sparse","DTOW005",10,288,0.0034722222,0.0138888889,12,39,27
"33","SIR","sparse","DTOW005",10,2880,0.0013888889,0.06875,16,50,34
"34","SIR","sparse","DTOW005",10,4320,0.0009259259,0.0611111111,16,49,33
"35","SIRns","x homogenous","DCLU004",0.1,288,0.0069444444,0.0138888889,15,51,36
"36","SIRns","x homogenous","DCLU004",0.1,2880,0.0010416667,0.0670138889,15,47,32
"37","SIRns","x homogenous","DCLU004",0.1,4320,0.0009259259,0.0615740741,15,47,32
"38","SIRns","x homogenous","DCLU004",0.5,288,0.0069444444,0.0173611111,14,49,35
"39","SIRns","x homogenous","DCLU004",0.5,2880,0.0013888889,0.0677083333,15,46.25,31.25
"40","SIRns","x homogenous","DCLU004",0.5,4320,0.0009259259,0.0611111111,15,47,32
"41","SIRns","x homogenous","DCLU004",1,288,0.0069444444,0.0173611111,14,45,31
"42","SIRns","x homogenous","DCLU004",1,2880,0.0013888889,0.0670138889,15,47,32
"43","SIRns","x homogenous","DCLU004",1,4320,0.0009259259,0.062037037,15,47,32
"44","SIRns","x homogenous","DCLU004",2,288,0.0034722222,0.0138888889,14,48,34
