"","modstr","Group","plotid","theta","Ntot","median.peak.time","LIQR.peak.time","UIQR.peak.time","median.peak.I.prop","LIQR.peak.I.prop","UIQR.peak.I.prop"
"1","SIR","dense","DLIS002",0.1,2880,27,17,39,0.003,0.002,0.003
"2","SIR","dense","DLIS002",0.1,4320,47,22,73.25,0.007,0.002,0.012
"3","SIR","dense","DLIS002",0.5,2880,50,30,77,0.009,0.004,0.014
"4","SIR","dense","DLIS002",0.5,4320,61,53,71,0.051,0.046,0.056
"5","SIR","dense","DLIS002",1,2880,66,53,80,0.041,0.035,0.047
"6","SIR","dense","DLIS002",1,4320,40,36,46,0.103,0.098,0.11
"7","SIR","dense","DLIS002",2,2880,39,35,44,0.101,0.095,0.108
"8","SIR","dense","DLIS002",2,4320,25,23,28,0.172,0.168,0.178
"9","SIR","dense","DLIS002",10,288,28,14,40,0.017,0.017,0.024
"10","SIR","dense","DLIS002",10,2880,15,13,16,0.248,0.242,0.255
"11","SIR","dense","DLIS002",10,4320,10,10,11,0.304,0.3,0.309
"12","SIR","intermediate","DCLU004",0.1,2880,30.5,19.25,52.25,0.004,0.003,0.007
"13","SIR","intermediate","DCLU004",0.1,4320,72,55,88.25,0.031,0.024,0.036
"14","SIR","intermediate","DCLU004",0.5,2880,72,53,97,0.025,0.019,0.03
"15","SIR","intermediate","DCLU004",0.5,4320,45,41,52,0.081,0.076,0.088
"16","SIR","intermediate","DCLU004",1,2880,52,45,62,0.058,0.052,0.065
"17","SIR","intermediate","DCLU004",1,4320,33,30,37,0.131,0.125,0.136
"18","SIR","intermediate","DCLU004",2,2880,34,31,38,0.118,0.111,0.126
"19","SIR","intermediate","DCLU004",2,4320,22,20,24,0.191,0.185,0.197
"20","SIR","intermediate","DCLU004",10,288,12,11,20,0.024,0.014,0.024
"21","SIR","intermediate","DCLU004",10,2880,14,13,16,0.252,0.247,0.258
"22","SIR","intermediate","DCLU004",10,4320,10,9,11,0.311,0.307,0.316
"23","SIR","sparse","DTOW005",0.1,2880,44,39,49,0.098,0.089,0.105
"24","SIR","sparse","DTOW005",0.1,4320,27,24,29,0.166,0.159,0.175
"25","SIR","sparse","DTOW005",0.5,2880,31,28,35,0.136,0.131,0.145
"26","SIR","sparse","DTOW005",0.5,4320,20,18,22,0.208,0.203,0.213
"27","SIR","sparse","DTOW005",1,2880,26,24,29,0.162,0.155,0.169
"28","SIR","sparse","DTOW005",1,4320,17,16,19,0.23,0.225,0.236
"29","SIR","sparse","DTOW005",2,288,33,33,33,0.021,0.021,0.021
"30","SIR","sparse","DTOW005",2,2880,22,20,24,0.191,0.184,0.197
"31","SIR","sparse","DTOW005",2,4320,14,13,16,0.256,0.252,0.262
"32","SIR","sparse","DTOW005",10,288,17.5,9,21.5,0.021,0.018,0.021
"33","SIR","sparse","DTOW005",10,2880,12,12,14,0.27,0.265,0.276
"34","SIR","sparse","DTOW005",10,4320,9,8,9,0.325,0.32,0.328
"35","SIRns","x homogenous","DCLU004",0.1,288,24,16,33,0.028,0.021,0.031
"36","SIRns","x homogenous","DCLU004",0.1,2880,8,7,8,0.334,0.328,0.339
"37","SIRns","x homogenous","DCLU004",0.1,4320,5,5,6,0.377,0.373,0.381
"38","SIRns","x homogenous","DCLU004",0.5,288,20,13,30.75,0.028,0.021,0.035
"39","SIRns","x homogenous","DCLU004",0.5,2880,8,7,8,0.333,0.328,0.338
"40","SIRns","x homogenous","DCLU004",0.5,4320,5,5,6,0.377,0.373,0.381
"41","SIRns","x homogenous","DCLU004",1,288,24.5,13,32.75,0.024,0.021,0.035
"42","SIRns","x homogenous","DCLU004",1,2880,8,7,8,0.333,0.328,0.338
"43","SIRns","x homogenous","DCLU004",1,4320,5,5,6,0.377,0.372,0.381
"44","SIRns","x homogenous","DCLU004",2,288,20,12,34.75,0.023,0.017,0.031
"45","SIRns","x homogenous","DCLU004",2,2880,8,7,8,0.333,0.328,0.339
"46","SIRns","x homogenous","DCLU004",2,4320,5,5,6,0.377,0.373,0.381
"47","SIRns","x homogenous","DCLU004",10,288,26,15,40,0.024,0.019,0.035
