row,N,Data,radius,theta,R0roost,gamma,nsims,threshold,modstr,site,subplot,n,Ntot,id,plotid,Beta
1,5,1,3,0.1,0.10473292,0.142857143,500,10,SIR,DCLU,4,32,160,1,DCLU004,0.000992063
2,5,2,3,0.1,0.182715262,0.142857143,500,10,SIR,DLIS,2,72,360,2,DLIS002,0.000992063
3,5,3,3,0.1,0.035787171,0.142857143,500,10,SIR,DTOW,5,4,20,3,DTOW005,0.000992063
4,5,1,3,0.5,0.147321205,0.142857143,500,10,SIR,DCLU,4,32,160,4,DCLU004,0.000992063
5,5,2,3,0.5,0.278075244,0.142857143,500,10,SIR,DLIS,2,72,360,5,DLIS002,0.000992063
6,5,3,3,0.5,0.039807036,0.142857143,500,10,SIR,DTOW,5,4,20,6,DTOW005,0.000992063
7,5,1,3,1,0.194677657,0.142857143,500,10,SIR,DCLU,4,32,160,7,DCLU004,0.000992063
8,5,2,3,1,0.384510955,0.142857143,500,10,SIR,DLIS,2,72,360,8,DLIS002,0.000992063
9,5,3,3,1,0.04435721,0.142857143,500,10,SIR,DTOW,5,4,20,9,DTOW005,0.000992063
10,5,1,3,2,0.274497722,0.142857143,500,10,SIR,DCLU,4,32,160,10,DCLU004,0.000992063
11,5,2,3,2,0.564746719,0.142857143,500,10,SIR,DLIS,2,72,360,11,DLIS002,0.000992063
12,5,3,3,2,0.052191572,0.142857143,500,10,SIR,DTOW,5,4,20,12,DTOW005,0.000992063
13,5,1,3,10,0.602779418,0.142857143,500,10,SIR,DCLU,4,32,160,13,DCLU004,0.000992063
14,5,2,3,10,1.314912608,0.142857143,500,10,SIR,DLIS,2,72,360,14,DLIS002,0.000992063
15,5,3,3,10,0.085870663,0.142857143,500,10,SIR,DTOW,5,4,20,15,DTOW005,0.000992063
16,5,1,3,0.1,1.111111111,0.142857143,500,10,SIRns,DCLU,4,32,160,16,DCLU004,0.000992063
17,5,2,3,0.1,2.5,0.142857143,500,10,SIRns,DLIS,2,72,360,17,DLIS002,0.000992063
18,5,3,3,0.1,0.138888889,0.142857143,500,10,SIRns,DTOW,5,4,20,18,DTOW005,0.000992063
19,5,1,3,0.5,1.111111111,0.142857143,500,10,SIRns,DCLU,4,32,160,19,DCLU004,0.000992063
20,5,2,3,0.5,2.5,0.142857143,500,10,SIRns,DLIS,2,72,360,20,DLIS002,0.000992063
21,5,3,3,0.5,0.138888889,0.142857143,500,10,SIRns,DTOW,5,4,20,21,DTOW005,0.000992063
22,5,1,3,1,1.111111111,0.142857143,500,10,SIRns,DCLU,4,32,160,22,DCLU004,0.000992063
23,5,2,3,1,2.5,0.142857143,500,10,SIRns,DLIS,2,72,360,23,DLIS002,0.000992063
24,5,3,3,1,0.138888889,0.142857143,500,10,SIRns,DTOW,5,4,20,24,DTOW005,0.000992063
25,5,1,3,2,1.111111111,0.142857143,500,10,SIRns,DCLU,4,32,160,25,DCLU004,0.000992063
26,5,2,3,2,2.5,0.142857143,500,10,SIRns,DLIS,2,72,360,26,DLIS002,0.000992063
27,5,3,3,2,0.138888889,0.142857143,500,10,SIRns,DTOW,5,4,20,27,DTOW005,0.000992063
28,5,1,3,10,1.111111111,0.142857143,500,10,SIRns,DCLU,4,32,160,28,DCLU004,0.000992063
29,5,2,3,10,2.5,0.142857143,500,10,SIRns,DLIS,2,72,360,29,DLIS002,0.000992063
30,5,3,3,10,0.138888889,0.142857143,500,10,SIRns,DTOW,5,4,20,30,DTOW005,0.000992063
31,9,1,3,0.1,0.188519255,0.142857143,500,10,SIR,DCLU,4,32,288,31,DCLU004,0.000992063
32,90,1,3,0.1,1.885192553,0.142857143,500,10,SIR,DCLU,4,32,2880,32,DCLU004,0.000992063
33,135,1,3,0.1,2.82778883,0.142857143,500,10,SIR,DCLU,4,32,4320,33,DCLU004,0.000992063
